budget_year,account_type,department,division,org_code,org_description,fund,fund_code,account_category,account_code,account_description,amount
FY15,Expenses,General Services,311 Division,,,,General Funds,Other Purchased Services,E_455010,Printing And Binding,5000
FY15,Expenses,General Services,311 Division,,,,General Funds,Purchased Property Services,E_444030,Rental Of Vehicles,10425
FY15,Expenses,General Services,311 Division,,,,General Funds,Purchased Property Services,E_443050,Computer Software Maintenance,25000
FY15,Expenses,General Services,311 Division,,,,General Funds,Salaries,E_411010,Regular Hours,1152788
FY15,Expenses,General Services,311 Division,,,,General Funds,Employee Benefits,E_413130,Longevity,200
FY15,Expenses,General Services,311 Division,,,,Water,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,-358
FY15,Expenses,General Services,311 Division,,,,Water,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,82257
FY15,Expenses,General Services,311 Division,,,,15_GasTax,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,-4875
FY15,Expenses,General Services,311 Division,,,,15_GasTax,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,112837
FY15,Expenses,General Services,311 Division,,,,General Funds,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-73265
FY15,Expenses,General Services,311 Division,,,,General Funds,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-716863
FY15,Expenses,General Services,311 Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,16715
FY15,Expenses,General Services,311 Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,11528
FY15,Expenses,General Services,311 Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,4830
FY15,Expenses,General Services,311 Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,197487
FY15,Expenses,General Services,311 Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,166221
FY15,Expenses,General Services,311 Division,,,,General Funds,Employee Benefits,E_413280,Automobile Allowance,2000
FY15,Expenses,General Services,311 Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,7071
FY15,Expenses,General Services,311 Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,71473
FY15,Expenses,General Services,311 Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,50000
FY15,Expenses,General Services,311 Division,,,,General Funds,Other Purchased Services,E_453010,Telephone,26940
FY15,Expenses,General Services,311 Division,,,,General Funds,Other Purchased Services,E_453010,Telephone,2000
FY15,Expenses,General Services,311 Division,,,,General Funds,Other Purchased Services,E_454030,Other Advertising,3000
FY15,Expenses,General Services,311 Division,,,,General Funds,Other Purchased Services,E_454010,Personnel Recruitment Advertis,2000
FY15,Expenses,General Services,311 Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,3600
FY15,Expenses,General Services,311 Division,,,,General Funds,Other Purchased Services,E_458010,Transportation,500
FY15,Expenses,General Services,311 Division,,,,General Funds,Property Accounts,E_474410,Computer Equipment,5000
FY15,Expenses,General Services,311 Division,,,,Community Center,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,-353
FY15,Expenses,General Services,311 Division,,,,Community Center,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,1385
FY15,Expenses,General Services,311 Division,,,,Parking,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,-7799
FY15,Expenses,General Services,311 Division,,,,Parking,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,30212
FY15,Expenses,General Services,311 Division,,,,Solid Waste,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,102078
FY15,Expenses,General Services,311 Division,,,,Solid Waste,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,437508
