ObjectId,Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category
4454,2022,City Attorney,General Fund,Labor and Supply Offset,-3938216,E,Governmental Funds
4498,2022,City Attorney,General Fund,Other Services and Supplies,320696,E,Governmental Funds
4507,2022,City Attorney,Storm Drainage Fund,Labor and Supply Offset,42602,E,Enterprise Funds
4508,2022,City Attorney,Wastewater Fund,Labor and Supply Offset,47336,E,Enterprise Funds
4509,2022,City Attorney,Water Fund,Labor and Supply Offset,146742,E,Enterprise Funds
4510,2022,City Attorney,General Fund,City Property,13750,E,Governmental Funds
4511,2022,City Attorney,General Fund,Employee Services,11691949,E,Governmental Funds
4520,2022,City Attorney,Measure U Fund,Labor and Supply Offset,229033,E,Governmental Funds
4524,2022,City Attorney,Cty/Cnty Office-Water Planning,Labor and Supply Offset,12457,E,Other Governmental Funds
4528,2022,City Attorney,Interdepartmental Service Fund,Labor and Supply Offset,2432221,E,Other Governmental Funds
4532,2022,City Attorney,General Fund,Intergovernmental,52000,R,Governmental Funds
4536,2022,City Auditor,Storm Drainage Fund,Transfers,23892,E,Enterprise Funds
4540,2022,City Auditor,Wastewater Fund,Transfers,26546,E,Enterprise Funds
4541,2022,City Auditor,Water Fund,Transfers,82293,E,Enterprise Funds
4543,2022,City Auditor,General Fund,City Property,5000,E,Governmental Funds
4547,2022,City Auditor,General Fund,Employee Services,1581895,E,Governmental Funds
4553,2022,City Auditor,General Fund,Labor and Supply Offset,-611142,E,Governmental Funds
4559,2022,City Auditor,General Fund,Other Services and Supplies,163581,E,Governmental Funds
4565,2022,City Auditor,General Fund,Transfers,-132731,E,Governmental Funds
4571,2022,City Auditor,Interdepartmental Service Fund,Labor and Supply Offset,455925,E,Other Governmental Funds
4577,2022,City Clerk,General Fund,City Property,2000,E,Governmental Funds
4615,2022,City Clerk,General Fund,Employee Services,2589608,E,Governmental Funds
4625,2022,City Clerk,General Fund,Labor and Supply Offset,-993742,E,Governmental Funds
4628,2022,City Clerk,General Fund,Other Services and Supplies,626840,E,Governmental Funds
4632,2022,City Clerk,Interdepartmental Service Fund,Labor and Supply Offset,993742,E,Other Governmental Funds
4637,2022,City Clerk,General Fund,"Charges, Fees, and Services",2000,R,Governmental Funds
4642,2022,City Clerk,General Fund,Intergovernmental,40000,R,Governmental Funds
4710,2022,City Manager,General Fund,City Property,22326,E,Governmental Funds
4715,2022,City Manager,General Fund,Employee Services,5004233,E,Governmental Funds
4718,2022,City Manager,General Fund,Labor and Supply Offset,-1996775,E,Governmental Funds
4721,2022,City Manager,General Fund,Multi-Year Operating Projects ,1641579,E,Governmental Funds
