ObjectId,Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category
3602,2020,Finance,Northside Subdiv Maint Dist,Labor and Supply Offset,5208,E,Other Governmental Funds
3605,2020,Finance,NW Land Park CFD 2013-02,Labor and Supply Offset,20913,E,Other Governmental Funds
3606,2020,Debt Service,2016 Lease Financing-H Street,City Debt Service,674592,E,Other Governmental Funds
3609,2020,Finance,Oak Park PBID,Labor and Supply Offset,3664,E,Other Governmental Funds
3610,2020,Debt Service,Debt Service-93 Series A,City Debt Service,0,E,Other Governmental Funds
3611,2020,City Treasurer,Interdepartmental Service Fund,Labor and Supply Offset,251755,E,Other Governmental Funds
3614,2020,Finance,Neighborhood Water Quality Dist,"Charges, Fees, and Services",69268,R,Other Governmental Funds
3615,2020,Finance,Old Sacto Maint Dist,Labor and Supply Offset,6244,E,Other Governmental Funds
3616,2020,Debt Service,Debt Service-93 Series B,City Debt Service,0,E,Other Governmental Funds
3618,2020,City Treasurer,General Fund,Contributions from Other Funds,2250958,R,Governmental Funds
3620,2020,Finance,Northside Subdiv Maint Dist,"Charges, Fees, and Services",9800,R,Other Governmental Funds
3621,2020,Finance,Power Inn Area Prop & Business,Labor and Supply Offset,3735,E,Other Governmental Funds
3622,2020,Debt Service,Golf Fund,City Debt Service,1167267,E,Other Governmental Funds
3624,2020,City Treasurer,General Fund,Intergovernmental,1245000,R,Governmental Funds
3626,2020,Finance,NW Land Park CFD 2013-02,"Charges, Fees, and Services",50000,R,Other Governmental Funds
3627,2020,Finance,Power Inn Rd Md 2003-01,Labor and Supply Offset,4629,E,Other Governmental Funds
3628,2020,Debt Service,Innovation and Growth Fund,City Debt Service,1100000,E,Other Governmental Funds
3630,2020,Citywide and Community Support,Community Center Fund,Employee Services,126834,E,Enterprise Funds
3632,2020,Finance,Oak Park PBID,"Charges, Fees, and Services",315447,R,Other Governmental Funds
3633,2020,Finance,Railyards Impact Fee Fund,Other Services and Supplies,50000,E,Other Governmental Funds
3634,2020,Debt Service,Marina Fund,City Debt Service,1172247,E,Other Governmental Funds
3636,2020,Citywide and Community Support,Community Center Fund,Other Services and Supplies,1493478,E,Enterprise Funds
3638,2020,Finance,Old Sacramento PBID,"Charges, Fees, and Services",165000,R,Other Governmental Funds
3639,2020,Finance,Railyards Maint CFD No 2014-04,Labor and Supply Offset,4667,E,Other Governmental Funds
3640,2020,Debt Service,NNFP Public Facilities Fee Fund,City Debt Service,707901,E,Other Governmental Funds
3641,2020,City Auditor,Storm Drainage Fund,Transfers,23562,E,Enterprise Funds
3642,2020,Citywide and Community Support,Parking Fund,Employee Services,133130,E,Enterprise Funds
3644,2020,City Auditor,Wastewater Fund,Transfers,20349,E,Enterprise Funds
3645,2020,Finance,Old Sacto Maint Dist,"Charges, Fees, and Services",70060,R,Other Governmental Funds
3646,2020,City Auditor,Water Fund,Transfers,63187,E,Enterprise Funds
3647,2020,Finance,River District Impact Fee Fund,Other Services and Supplies,50000,E,Other Governmental Funds
3649,2020,City Auditor,General Fund,City Property,5000,E,Governmental Funds
3650,2020,Finance,Power Inn Area Prop & Business,"Charges, Fees, and Services",526302,R,Other Governmental Funds
3651,2020,Citywide and Community Support,Parking Fund,Other Services and Supplies,321000,E,Enterprise Funds
3652,2020,Debt Service,NNFP Reg Park Land Acquisition,City Debt Service,422046,E,Other Governmental Funds
3653,2020,Citywide and Community Support,Recycling and Solid Waste,Employee Services,1142434,E,Enterprise Funds
3654,2020,Finance,Power Inn Rd Md 2003-01,"Charges, Fees, and Services",12084,R,Other Governmental Funds
3655,2020,City Auditor,General Fund,Employee Services,1239756,E,Governmental Funds
3657,2020,Debt Service,"2006 CIRBs (Refunding), Series E",Intergovernmental,125055,R,Other Governmental Funds
3658,2020,Finance,Sac Tourism Marketing District,Labor and Supply Offset,146000,E,Other Governmental Funds
3659,2020,Citywide and Community Support,Storm Drainage Fund,Employee Services,432558,E,Enterprise Funds
3660,2020,Finance,Railyards Impact Fee Fund,"Charges, Fees, and Services",50000,R,Other Governmental Funds
3661,2020,City Auditor,General Fund,Labor and Supply Offset,-431185,E,Governmental Funds
3663,2020,Debt Service,"2006 CIRBs, Series B (CRCIP)","Interest, Rents, and Concessions",87600,R,Other Governmental Funds
3664,2020,Finance,SacMaintCFD2014-04 Annex Areas,Labor and Supply Offset,5618,E,Other Governmental Funds
3665,2020,Citywide and Community Support,Wastewater Fund,Employee Services,300700,E,Enterprise Funds
3666,2020,Finance,Railyards Maint CFD No 2014-04,"Charges, Fees, and Services",111723,R,Other Governmental Funds
3667,2020,City Auditor,General Fund,Other Services and Supplies,131581,E,Governmental Funds
3669,2020,Debt Service,"2006 CIRBs, Series B (CRCIP)",Intergovernmental,1114783,R,Other Governmental Funds
3670,2020,Finance,SacMaintCFD2014-04 Area 01,Labor and Supply Offset,6461,E,Other Governmental Funds
3671,2020,Citywide and Community Support,Water Fund,Employee Services,887079,E,Enterprise Funds
3672,2020,Finance,SacMaintCFD2014-04 Annex Areas,"Charges, Fees, and Services",96558,R,Other Governmental Funds
3673,2020,City Auditor,General Fund,Transfers,-107098,E,Governmental Funds
3675,2020,Debt Service,2015 Golden 1 Center Revenue Bonds,"Interest, Rents, and Concessions",6500000,R,Other Governmental Funds
3676,2020,Finance,Special District Info/Rpt Sys,Labor and Supply Offset,0,E,Other Governmental Funds
3677,2020,Citywide and Community Support,General Fund,City Property,300000,E,Governmental Funds
3678,2020,Finance,SacMaintCFD2014-04 Area 01,"Charges, Fees, and Services",375000,R,Other Governmental Funds
3679,2020,City Auditor,Interdepartmental Service Fund,Labor and Supply Offset,431185,E,Other Governmental Funds
3681,2020,Debt Service,2016 Lease Financing-H Street,Intergovernmental,674592,R,Other Governmental Funds
3682,2020,Convention and Cultural Services,Community Center Fund,Employee Services,5796960,E,Enterprise Funds
3683,2020,Finance,Special District Info/Rpt Sys,Other Services and Supplies,0,E,Other Governmental Funds
3684,2020,Finance,Stockton Blvd PBID,Labor and Supply Offset,2438,E,Other Governmental Funds
3685,2020,Finance,Subdiv Lndscpng Maint Dist,Labor and Supply Offset,28093,E,Other Governmental Funds
3686,2020,Finance,Sutter Business Imprvmt Area,Other Services and Supplies,150000,E,Other Governmental Funds
3687,2020,Finance,The River District PBID,Labor and Supply Offset,2031,E,Other Governmental Funds
3688,2020,Finance,Township 9 CFD No. 2012-06,Labor and Supply Offset,5176,E,Other Governmental Funds
3689,2020,Finance,Village Garden N.-Mtce Dist #1,Labor and Supply Offset,15596,E,Other Governmental Funds
3690,2020,Finance,Willowcreek Assmnt Md,Labor and Supply Offset,9181,E,Other Governmental Funds
3691,2020,Finance,Willowcreek Lndscpng CFD,Labor and Supply Offset,5486,E,Other Governmental Funds
3692,2020,Finance,General Fund,"Charges, Fees, and Services",146293,R,Governmental Funds
3693,2020,Finance,General Fund,"Fines, Forfeitures, and  Penalties",18000,R,Governmental Funds
3694,2020,Finance,General Fund,Intergovernmental,116084,R,Governmental Funds
3695,2020,Finance,General Fund,Licenses and Permits,386000,R,Governmental Funds
3696,2020,Finance,General Fund,Miscellaneous Revenue,153533,R,Governmental Funds
3697,2020,Finance,12th Street Maint Benefit Area,"Charges, Fees, and Services",16680,R,Other Governmental Funds
3698,2020,Finance,Central Midtown Restaurant BID,"Charges, Fees, and Services",210000,R,Other Governmental Funds
3699,2020,Finance,Curtis Park CFD 2013-03,"Charges, Fees, and Services",8225,R,Other Governmental Funds
3700,2020,Finance,Del Paso Nuevo Landscaping CFD,"Charges, Fees, and Services",23823,R,Other Governmental Funds
