ObjectId,Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category
401,2014,General Services,Cal Epa Fund,Intergovernmental,7874000,R,Other Governmental Funds
402,2014,General Services,Cal Epa Fund,Other Services and Supplies,7701630,E,Other Governmental Funds
403,2014,General Services,Parking Fund,Labor/Supply Offset,30212,E,Enterprise Funds
404,2014,General Services,Water Fund,Labor/Supply Offset,82257,E,Enterprise Funds
405,2014,General Services,Wastewater Fund,Labor/Supply Offset,29712,E,Enterprise Funds
406,2014,General Services,Solid Waste and Recycling,"Charges, Fees, and Services",58898000,R,Enterprise Funds
407,2014,General Services,Solid Waste and Recycling,Employee Services,13545166,E,Enterprise Funds
408,2014,General Services,Solid Waste and Recycling,Intergovernmental,115000,R,Enterprise Funds
409,2014,General Services,Solid Waste and Recycling,Labor/Supply Offset,2013796,E,Enterprise Funds
410,2014,General Services,Solid Waste and Recycling,Operating Transfers,6307000,E,Enterprise Funds
411,2014,General Services,Solid Waste and Recycling,Other Services and Supplies,23690066,E,Enterprise Funds
412,2014,General Services,Solid Waste and Recycling,Property,5806234,E,Enterprise Funds
413,2014,General Services,Community Center Fund,Labor/Supply Offset,1385,E,Enterprise Funds
414,2014,General Services,Storm Drainage Fund,Labor/Supply Offset,106952,E,Enterprise Funds
415,2014,General Services,Solid Waste Grant Fund,Intergovernmental,210000,R,Enterprise Funds
416,2014,General Services,Solid Waste Grant Fund,Other Services and Supplies,210000,E,Enterprise Funds
417,2014,General Services,Fleet Management,"Charges, Fees, and Services",8523599,R,Internal Service Funds
418,2014,General Services,Fleet Management,Employee Services,6858139,E,Internal Service Funds
419,2014,General Services,Fleet Management,"Interest, Rents, Concessions",437426,R,Internal Service Funds
420,2014,General Services,Fleet Management,Labor/Supply Offset,1659293,E,Internal Service Funds
421,2014,General Services,Fleet Management,Miscellaneous Revenue,26470624,R,Internal Service Funds
422,2014,General Services,Fleet Management,Other Services and Supplies,17801582,E,Internal Service Funds
423,2014,General Services,Fleet Management,Property,10387262,E,Internal Service Funds
424,2014,Utilities,General Fund,Labor/Supply Offset,122410,E,General Fund
425,2014,Utilities,Northside Subdiv Maint Dist,Labor/Supply Offset,5000,E,Other Governmental Funds
